N	trapecio	simpson	richardson_trap	richardson_simp
2	0.667827	1.08929	1.08929	1.28538
4	1.6542	1.98299	1.98299	2.04257
8	1.15491	0.988487	0.988487	0.922187
16	0.403666	0.153249	0.153249	0.0975668
32	0.233528	0.176815	0.176815	0.178386
64	0.211906	0.204699	0.204699	0.206558
128	0.0371799	0.0210623	0.0210623	0.0361131
256	0.00257853	0.00895525	0.00895525	0.00814812
512	0.000566355	0.000104371	0.000104371	0.000485688
1024	0.000137685	5.20521e-06	5.20521e-06	1.40585e-06
2048	3.41893e-05	3.09291e-07	3.09291e-07	1.7103e-08
4096	8.53299e-06	1.9094e-08	1.9094e-08	2.52534e-10
8192	2.13236e-06	1.18973e-09	1.18973e-09	3.88972e-12
16384	5.33033e-07	7.42944e-11	7.42997e-11	6.76473e-14
32768	1.33255e-07	4.63865e-12	4.6453e-12	5.09478e-15
65536	3.33135e-08	2.99318e-13	3.09366e-13	1.0048e-14
131072	8.32834e-09	1.04726e-14	4.71267e-14	8.77434e-15
262144	2.08209e-09	2.54739e-15	1.24539e-14	1.9813e-15
524288	5.20514e-10	6.49584e-14	1.27369e-14	6.94871e-14
1048576	1.3011e-10	4.78343e-14	2.46247e-14	5.53349e-14
