# x	Li2(x)
0.0000000000e+00	0.0000000000e+00
5.0000000000e-03	5.0062635572e-03
1.0000000000e-02	1.0025110998e-02
1.5000000000e-02	1.5056627082e-02
2.0000000000e-02	2.0100897535e-02
2.5000000000e-02	2.5158009068e-02
3.0000000000e-02	3.0228049392e-02
3.5000000000e-02	3.5311107235e-02
4.0000000000e-02	4.0407272357e-02
4.5000000000e-02	4.5516635571e-02
5.0000000000e-02	5.0639288756e-02
5.5000000000e-02	5.5775324878e-02
6.0000000000e-02	6.0924838009e-02
6.5000000000e-02	6.6087923343e-02
7.0000000000e-02	7.1264677218e-02
7.5000000000e-02	7.6455197131e-02
8.0000000000e-02	8.1659581765e-02
8.5000000000e-02	8.6877931004e-02
9.0000000000e-02	9.2110345956e-02
9.5000000000e-02	9.7356928975e-02
1.0000000000e-01	1.0261778368e-01
1.0500000000e-01	1.0789301499e-01
1.1000000000e-01	1.1318272911e-01
1.1500000000e-01	1.1848703362e-01
1.2000000000e-01	1.2380603743e-01
1.2500000000e-01	1.2913985084e-01
1.3000000000e-01	1.3448858557e-01
1.3500000000e-01	1.3985235477e-01
1.4000000000e-01	1.4523127306e-01
1.4500000000e-01	1.5062545654e-01
1.5000000000e-01	1.5603502282e-01
1.5500000000e-01	1.6146009108e-01
1.6000000000e-01	1.6690078205e-01
1.6500000000e-01	1.7235721809e-01
1.7000000000e-01	1.7782952317e-01
1.7500000000e-01	1.8331782293e-01
1.8000000000e-01	1.8882224474e-01
1.8500000000e-01	1.9434291766e-01
1.9000000000e-01	1.9987997255e-01
1.9500000000e-01	2.0543354204e-01
2.0000000000e-01	2.1100376062e-01
2.0500000000e-01	2.1659076464e-01
2.1000000000e-01	2.2219469236e-01
2.1500000000e-01	2.2781568399e-01
2.2000000000e-01	2.3345388174e-01
2.2500000000e-01	2.3910942983e-01
2.3000000000e-01	2.4478247456e-01
2.3500000000e-01	2.5047316428e-01
2.4000000000e-01	2.5618164965e-01
2.4500000000e-01	2.6190808340e-01
2.5000000000e-01	2.6765262054e-01
2.5500000000e-01	2.7341541838e-01
2.6000000000e-01	2.7919663657e-01
2.6500000000e-01	2.8499643717e-01
2.7000000000e-01	2.9081498465e-01
2.7500000000e-01	2.9665244602e-01
2.8000000000e-01	3.0250899083e-01
2.8500000000e-01	3.0838479122e-01
2.9000000000e-01	3.1428002202e-01
2.9500000000e-01	3.2019486077e-01
3.0000000000e-01	3.2612948783e-01
3.0500000000e-01	3.3208408638e-01
3.1000000000e-01	3.3805884252e-01
3.1500000000e-01	3.4405394535e-01
3.2000000000e-01	3.5006958700e-01
3.2500000000e-01	3.5610596275e-01
3.3000000000e-01	3.6216327106e-01
3.3500000000e-01	3.6824171365e-01
3.4000000000e-01	3.7434149562e-01
3.4500000000e-01	3.8046282547e-01
3.5000000000e-01	3.8660591523e-01
3.5500000000e-01	3.9277098051e-01
3.6000000000e-01	3.9895824066e-01
3.6500000000e-01	4.0516791874e-01
3.7000000000e-01	4.1140024171e-01
3.7500000000e-01	4.1765544050e-01
3.8000000000e-01	4.2393375011e-01
3.8500000000e-01	4.3023540967e-01
3.9000000000e-01	4.3656066268e-01
3.9500000000e-01	4.4290975695e-01
4.0000000000e-01	4.4928294482e-01
4.0500000000e-01	4.5568048324e-01
4.1000000000e-01	4.6210263393e-01
4.1500000000e-01	4.6854966344e-01
4.2000000000e-01	4.7502184338e-01
4.2500000000e-01	4.8151945046e-01
4.3000000000e-01	4.8804276667e-01
4.3500000000e-01	4.9459207943e-01
4.4000000000e-01	5.0116768173e-01
4.4500000000e-01	5.0776987231e-01
4.5000000000e-01	5.1439895578e-01
4.5500000000e-01	5.2105524284e-01
4.6000000000e-01	5.2773905041e-01
4.6500000000e-01	5.3445070183e-01
4.7000000000e-01	5.4119052705e-01
4.7500000000e-01	5.4795886284e-01
4.8000000000e-01	5.5475605296e-01
4.8500000000e-01	5.6158244840e-01
4.9000000000e-01	5.6843840757e-01
4.9500000000e-01	5.7532429656e-01
5.0000000000e-01	5.8224048939e-01
5.0500000000e-01	5.8918736820e-01
5.1000000000e-01	5.9616532356e-01
5.1500000000e-01	6.0317475472e-01
5.2000000000e-01	6.1021606989e-01
5.2500000000e-01	6.1728968653e-01
5.3000000000e-01	6.2439603168e-01
5.3500000000e-01	6.3153554224e-01
5.4000000000e-01	6.3870866533e-01
5.4500000000e-01	6.4591585863e-01
5.5000000000e-01	6.5315759073e-01
5.5500000000e-01	6.6043434153e-01
5.6000000000e-01	6.6774660263e-01
5.6500000000e-01	6.7509487775e-01
5.7000000000e-01	6.8247968315e-01
5.7500000000e-01	6.8990154811e-01
5.8000000000e-01	6.9736101537e-01
5.8500000000e-01	7.0485864167e-01
5.9000000000e-01	7.1239499827e-01
5.9500000000e-01	7.1997067146e-01
6.0000000000e-01	7.2758626322e-01
6.0500000000e-01	7.3524239176e-01
6.1000000000e-01	7.4293969218e-01
6.1500000000e-01	7.5067881715e-01
6.2000000000e-01	7.5846043764e-01
6.2500000000e-01	7.6628524363e-01
6.3000000000e-01	7.7415394494e-01
6.3500000000e-01	7.8206727202e-01
6.4000000000e-01	7.9002597689e-01
6.4500000000e-01	7.9803083401e-01
6.5000000000e-01	8.0608264132e-01
6.5500000000e-01	8.1418222121e-01
6.6000000000e-01	8.2233042170e-01
6.6500000000e-01	8.3052811758e-01
6.7000000000e-01	8.3877621161e-01
6.7500000000e-01	8.4707563591e-01
6.8000000000e-01	8.5542735332e-01
6.8500000000e-01	8.6383235889e-01
6.9000000000e-01	8.7229168148e-01
6.9500000000e-01	8.8080638543e-01
7.0000000000e-01	8.8937757237e-01
7.0500000000e-01	8.9800638320e-01
7.1000000000e-01	9.0669400005e-01
7.1500000000e-01	9.1544164857e-01
7.2000000000e-01	9.2425060024e-01
7.2500000000e-01	9.3312217495e-01
7.3000000000e-01	9.4205774366e-01
7.3500000000e-01	9.5105873139e-01
7.4000000000e-01	9.6012662035e-01
7.4500000000e-01	9.6926295331e-01
7.5000000000e-01	9.7846933731e-01
7.5500000000e-01	9.8774744759e-01
7.6000000000e-01	9.9709903194e-01
7.6500000000e-01	1.0065259153e+00
7.7000000000e-01	1.0160300049e+00
7.7500000000e-01	1.0256132957e+00
7.8000000000e-01	1.0352778764e+00
7.8500000000e-01	1.0450259361e+00
7.9000000000e-01	1.0548597713e+00
7.9500000000e-01	1.0647817942e+00
8.0000000000e-01	1.0747945407e+00
8.0500000000e-01	1.0849006805e+00
8.1000000000e-01	1.0951030275e+00
8.1500000000e-01	1.1054045513e+00
8.2000000000e-01	1.1158083902e+00
8.2500000000e-01	1.1263178657e+00
8.3000000000e-01	1.1369364986e+00
8.3500000000e-01	1.1476680267e+00
8.4000000000e-01	1.1585164252e+00
8.4500000000e-01	1.1694859295e+00
8.5000000000e-01	1.1805810608e+00
8.5500000000e-01	1.1918066552e+00
8.6000000000e-01	1.2031678971e+00
8.6500000000e-01	1.2146703573e+00
8.7000000000e-01	1.2263200367e+00
8.7500000000e-01	1.2381234169e+00
8.8000000000e-01	1.2500875189e+00
8.8500000000e-01	1.2622199720e+00
8.9000000000e-01	1.2745290944e+00
8.9500000000e-01	1.2870239887e+00
9.0000000000e-01	1.2997146563e+00
9.0500000000e-01	1.3126122080e+00
9.1000000000e-01	1.3257287344e+00
9.1500000000e-01	1.3390779536e+00
9.2000000000e-01	1.3526751670e+00
9.2500000000e-01	1.3665376487e+00
9.3000000000e-01	1.3806850463e+00
9.3500000000e-01	1.3951398972e+00
9.4000000000e-01	1.4099283049e+00
9.4500000000e-01	1.4250808447e+00
9.5000000000e-01	1.4406338007e+00
9.5500000000e-01	1.4566309056e+00
9.6000000000e-01	1.4731258632e+00
9.6500000000e-01	1.4901861521e+00
9.7000000000e-01	1.5078990429e+00
9.7500000000e-01	1.5263817161e+00
9.8000000000e-01	1.5457997135e+00
9.8500000000e-01	1.5664046183e+00
9.9000000000e-01	1.5886254488e+00
9.9500000000e-01	1.6133697659e+00
1.0000000000e+00	1.6449340668e+00
