# x	Simpson_CDF	Gauss_CDF
0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.063050e-12	2.063051e-12
2.000000e-01	3.419688e-10	3.419690e-10
3.000000e-01	6.553476e-09	6.553480e-09
4.000000e-01	5.192334e-08	5.192337e-08
5.000000e-01	2.535644e-07	2.535646e-07
6.000000e-01	9.117996e-07	9.118003e-07
7.000000e-01	2.654629e-06	2.654631e-06
8.000000e-01	6.622157e-06	6.622164e-06
9.000000e-01	1.468091e-05	1.468092e-05
1.000000e+00	2.965498e-05	2.965501e-05
1.100000e+00	5.555987e-05	5.555993e-05
1.200000e+00	9.782497e-05	9.782508e-05
1.300000e+00	1.634920e-04	1.634921e-04
1.400000e+00	2.613785e-04	2.613787e-04
1.500000e+00	4.021986e-04	4.021989e-04
1.600000e+00	5.986343e-04	5.986347e-04
1.700000e+00	8.653551e-04	8.653554e-04
1.800000e+00	1.218983e-03	1.218984e-03
1.900000e+00	1.678010e-03	1.678009e-03
2.000000e+00	2.262656e-03	2.262654e-03
2.100000e+00	2.994698e-03	2.994694e-03
2.200000e+00	3.897245e-03	3.897237e-03
2.300000e+00	4.994491e-03	4.994477e-03
2.400000e+00	6.311435e-03	6.311413e-03
2.500000e+00	7.873589e-03	7.873553e-03
2.600000e+00	9.706665e-03	9.706611e-03
2.700000e+00	1.183627e-02	1.183619e-02
2.800000e+00	1.428760e-02	1.428748e-02
2.900000e+00	1.708510e-02	1.708495e-02
3.000000e+00	2.025225e-02	2.025204e-02
3.100000e+00	2.381121e-02	2.381093e-02
3.200000e+00	2.778262e-02	2.778225e-02
3.300000e+00	3.218534e-02	3.218487e-02
3.400000e+00	3.703630e-02	3.703570e-02
3.500000e+00	4.235025e-02	4.234950e-02
3.600000e+00	4.813971e-02	4.813879e-02
3.700000e+00	5.441477e-02	5.441366e-02
3.800000e+00	6.118307e-02	6.118175e-02
3.900000e+00	6.844973e-02	6.844818e-02
4.000000e+00	7.621730e-02	7.621550e-02
4.100000e+00	8.448580e-02	8.448374e-02
4.200000e+00	9.325272e-02	9.325041e-02
4.300000e+00	1.025131e-01	1.025105e-01
4.400000e+00	1.122596e-01	1.122568e-01
4.500000e+00	1.224825e-01	1.224796e-01
4.600000e+00	1.331701e-01	1.331669e-01
4.700000e+00	1.443083e-01	1.443051e-01
4.800000e+00	1.558814e-01	1.558782e-01
4.900000e+00	1.678717e-01	1.678687e-01
5.000000e+00	1.802601e-01	1.802574e-01
5.100000e+00	1.930257e-01	1.930235e-01
5.200000e+00	2.061467e-01	2.061452e-01
5.300000e+00	2.195998e-01	2.195994e-01
5.400000e+00	2.333611e-01	2.333620e-01
5.500000e+00	2.474056e-01	2.474082e-01
5.600000e+00	2.617079e-01	2.617126e-01
5.700000e+00	2.762419e-01	2.762493e-01
5.800000e+00	2.909814e-01	2.909919e-01
5.900000e+00	3.058999e-01	3.059142e-01
6.000000e+00	3.209709e-01	3.209897e-01
6.100000e+00	3.361682e-01	3.361920e-01
6.200000e+00	3.514654e-01	3.514952e-01
6.300000e+00	3.668370e-01	3.668735e-01
6.400000e+00	3.822574e-01	3.823016e-01
6.500000e+00	3.977021e-01	3.977548e-01
6.600000e+00	4.131468e-01	4.132091e-01
6.700000e+00	4.285681e-01	4.286412e-01
6.800000e+00	4.439436e-01	4.440284e-01
6.900000e+00	4.592514e-01	4.593491e-01
7.000000e+00	4.744709e-01	4.745825e-01
7.100000e+00	4.895820e-01	4.897088e-01
7.200000e+00	5.045661e-01	5.047092e-01
7.300000e+00	5.194052e-01	5.195658e-01
7.400000e+00	5.340827e-01	5.342619e-01
7.500000e+00	5.485828e-01	5.487817e-01
7.600000e+00	5.628909e-01	5.631106e-01
7.700000e+00	5.769934e-01	5.772350e-01
7.800000e+00	5.908780e-01	5.911422e-01
7.900000e+00	6.045331e-01	6.048209e-01
8.000000e+00	6.179483e-01	6.182605e-01
8.100000e+00	6.311145e-01	6.314516e-01
8.200000e+00	6.440231e-01	6.443856e-01
8.300000e+00	6.566670e-01	6.570552e-01
8.400000e+00	6.690396e-01	6.694536e-01
8.500000e+00	6.811356e-01	6.815753e-01
8.600000e+00	6.929503e-01	6.934154e-01
8.700000e+00	7.044801e-01	7.049700e-01
8.800000e+00	7.157220e-01	7.162360e-01
8.900000e+00	7.266739e-01	7.272109e-01
9.000000e+00	7.373344e-01	7.378930e-01
9.100000e+00	7.477030e-01	7.482815e-01
9.200000e+00	7.577795e-01	7.583759e-01
9.300000e+00	7.675646e-01	7.681766e-01
9.400000e+00	7.770596e-01	7.776843e-01
9.500000e+00	7.862661e-01	7.869006e-01
9.600000e+00	7.951865e-01	7.958272e-01
9.700000e+00	8.038234e-01	8.044665e-01
9.800000e+00	8.121801e-01	8.128213e-01
9.900000e+00	8.202601e-01	8.208947e-01
1.000000e+01	8.280673e-01	8.286902e-01
1.010000e+01	8.356060e-01	8.362117e-01
1.020000e+01	8.428808e-01	8.434633e-01
1.030000e+01	8.498964e-01	8.504494e-01
1.040000e+01	8.566580e-01	8.571746e-01
1.050000e+01	8.631707e-01	8.636437e-01
1.060000e+01	8.694400e-01	8.698617e-01
1.070000e+01	8.754714e-01	8.758338e-01
1.080000e+01	8.812707e-01	8.815653e-01
1.090000e+01	8.868436e-01	8.870616e-01
1.100000e+01	8.921961e-01	8.923282e-01
1.110000e+01	8.973340e-01	8.973707e-01
1.120000e+01	9.022634e-01	9.021946e-01
1.130000e+01	9.069902e-01	9.068057e-01
1.140000e+01	9.115205e-01	9.112096e-01
1.150000e+01	9.158601e-01	9.154121e-01
1.160000e+01	9.200152e-01	9.194188e-01
1.170000e+01	9.239915e-01	9.232354e-01
1.180000e+01	9.277950e-01	9.268676e-01
1.190000e+01	9.314314e-01	9.303211e-01
1.200000e+01	9.349065e-01	9.336013e-01
1.210000e+01	9.382260e-01	9.367139e-01
1.220000e+01	9.413953e-01	9.396642e-01
1.230000e+01	9.444199e-01	9.424578e-01
1.240000e+01	9.473053e-01	9.451000e-01
1.250000e+01	9.500566e-01	9.475961e-01
1.260000e+01	9.526789e-01	9.499512e-01
1.270000e+01	9.551773e-01	9.521704e-01
1.280000e+01	9.575567e-01	9.542590e-01
1.290000e+01	9.598218e-01	9.562217e-01
1.300000e+01	9.619773e-01	9.580634e-01
1.310000e+01	9.640277e-01	9.597891e-01
1.320000e+01	9.659773e-01	9.614033e-01
1.330000e+01	9.678305e-01	9.629106e-01
1.340000e+01	9.695912e-01	9.643157e-01
1.350000e+01	9.712636e-01	9.656229e-01
1.360000e+01	9.728516e-01	9.668367e-01
1.370000e+01	9.743587e-01	9.679611e-01
1.380000e+01	9.757887e-01	9.690006e-01
1.390000e+01	9.771450e-01	9.699591e-01
1.400000e+01	9.784310e-01	9.708406e-01
1.410000e+01	9.796499e-01	9.716491e-01
1.420000e+01	9.808048e-01	9.723884e-01
1.430000e+01	9.818988e-01	9.730624e-01
1.440000e+01	9.829347e-01	9.736746e-01
1.450000e+01	9.839154e-01	9.742286e-01
1.460000e+01	9.848434e-01	9.747281e-01
1.470000e+01	9.857213e-01	9.751764e-01
1.480000e+01	9.865515e-01	9.755769e-01
1.490000e+01	9.873365e-01	9.759330e-01
1.500000e+01	9.880785e-01	9.762478e-01
1.510000e+01	9.887796e-01	9.765245e-01
1.520000e+01	9.894419e-01	9.767662e-01
1.530000e+01	9.900673e-01	9.769759e-01
1.540000e+01	9.906578e-01	9.771565e-01
1.550000e+01	9.912151e-01	9.773110e-01
1.560000e+01	9.917410e-01	9.774422e-01
1.570000e+01	9.922371e-01	9.775527e-01
1.580000e+01	9.927050e-01	9.776453e-01
1.590000e+01	9.931461e-01	9.777226e-01
1.600000e+01	9.935619e-01	9.777871e-01
1.610000e+01	9.939537e-01	9.778413e-01
1.620000e+01	9.943228e-01	9.778877e-01
1.630000e+01	9.946705e-01	9.779286e-01
1.640000e+01	9.949979e-01	9.779664e-01
1.650000e+01	9.953061e-01	9.780032e-01
1.660000e+01	9.955962e-01	9.780412e-01
1.670000e+01	9.958692e-01	9.780825e-01
1.680000e+01	9.961260e-01	9.781293e-01
1.690000e+01	9.963675e-01	9.781835e-01
1.700000e+01	9.965946e-01	9.782470e-01
1.710000e+01	9.968081e-01	9.783217e-01
1.720000e+01	9.970088e-01	9.784094e-01
1.730000e+01	9.971974e-01	9.785119e-01
1.740000e+01	9.973746e-01	9.786308e-01
1.750000e+01	9.975410e-01	9.787679e-01
1.760000e+01	9.976972e-01	9.789246e-01
1.770000e+01	9.978440e-01	9.791025e-01
1.780000e+01	9.979817e-01	9.793030e-01
1.790000e+01	9.981109e-01	9.795276e-01
1.800000e+01	9.982322e-01	9.797775e-01
1.810000e+01	9.983460e-01	9.800541e-01
1.820000e+01	9.984527e-01	9.803584e-01
1.830000e+01	9.985527e-01	9.806918e-01
1.840000e+01	9.986465e-01	9.810553e-01
1.850000e+01	9.987345e-01	9.814499e-01
1.860000e+01	9.988169e-01	9.818766e-01
1.870000e+01	9.988941e-01	9.823363e-01
1.880000e+01	9.989665e-01	9.828298e-01
1.890000e+01	9.990342e-01	9.833580e-01
1.900000e+01	9.990977e-01	9.839216e-01
1.910000e+01	9.991571e-01	9.845213e-01
1.920000e+01	9.992128e-01	9.851576e-01
1.930000e+01	9.992648e-01	9.858312e-01
1.940000e+01	9.993136e-01	9.865426e-01
1.950000e+01	9.993591e-01	9.872922e-01
1.960000e+01	9.994018e-01	9.880803e-01
1.970000e+01	9.994417e-01	9.889074e-01
1.980000e+01	9.994790e-01	9.897737e-01
1.990000e+01	9.995139e-01	9.906794e-01
2.000000e+01	9.995465e-01	9.916247e-01
